0,1,0.218736812888473
0,1.025,0.17576442990989
0,1.05,0.152120540700849
0,1.075,0.152087039561117
0,1.1,0.152062074967688
0.25,1,0.181119340501297
0.25,1.025,0.152364231280963
0.25,1.05,0.152289049463519
0.25,1.075,0.152254151101459
0.25,1.1,0.152214618998954
0.5,1,0.166269402290226
0.5,1.025,0.152485789831339
0.5,1.05,0.152447936106626
0.5,1.075,0.152411476658948
0.5,1.1,0.152376387644964
0.75,1,0.164417203669487
0.75,1.025,0.152589215255645
0.75,1.05,0.15255478297459
0.75,1.075,0.152521212614744
0.75,1.1,0.152488511520502
1,1,0.163214138580521
1,1.025,0.152630610080003
1,1.05,0.152601400469592
1,1.075,0.152550633025676
1,1.1,0.152161946978097
