demand,storage,freq
0.020000000000000018,0.0,0.175200079277062
0.020000000000000018,0.0125,0.153328601857119
0.020000000000000018,0.025,0.153328601857119
0.020000000000000018,0.0375,0.153328601857119
0.020000000000000018,0.05,0.153328601857119
0.015000000000000013,0.0,0.186341177766181
0.015000000000000013,0.0125,0.157669767215545
0.015000000000000013,0.025,0.153328601857119
0.015000000000000013,0.0375,0.153328601857119
0.015000000000000013,0.05,0.153328601857119
0.010000000000000009,0.0,0.197309028442369
0.010000000000000009,0.0125,0.168997138495442
0.010000000000000009,0.025,0.153328601857119
0.010000000000000009,0.0375,0.153328601857119
0.010000000000000009,0.05,0.153328601857119
0.0050000000000000044,0.0,0.20810852119002
0.0050000000000000044,0.0125,0.180148267959517
0.0050000000000000044,0.025,0.153328601857119
0.0050000000000000044,0.0375,0.153328601857119
0.0050000000000000044,0.05,0.153328601857119
0.0,0.0,0.218736812888473
0.0,0.0125,0.191128334759064
0.0,0.025,0.16284293755848
0.0,0.0375,0.153328601857154
0.0,0.05,0.153328601857154
