trans,solar,freq
0.02,0.0,0.218736812888473
0.02,0.009999999999999966,0.196225900677852
0.02,0.01999999999999993,0.17576442990989
0.02,0.030000000000000072,0.152134832123487
0.02,0.040000000000000036,0.152120540700849
0.04,0.0,0.239369440163713
0.04,0.009999999999999966,0.216143474121694
0.04,0.01999999999999993,0.194219388904806
0.04,0.030000000000000072,0.176750683509226
0.04,0.040000000000000036,0.150687127506259
0.06,0.0,0.261860552254007
0.06,0.009999999999999966,0.231664857739482
0.06,0.01999999999999993,0.209540578170142
0.06,0.030000000000000072,0.19322542037709
0.06,0.040000000000000036,0.170364238413349
0.08,0.0,0.273177151181059
0.08,0.009999999999999966,0.237188842918492
0.08,0.01999999999999993,0.215465345714392
0.08,0.030000000000000072,0.199451779681553
0.08,0.040000000000000036,0.177742202689821
0.1,0.0,0.276288066184421
0.1,0.009999999999999966,0.238543857560011
0.1,0.01999999999999993,0.217169346051683
0.1,0.030000000000000072,0.201381769869684
0.1,0.040000000000000036,0.179958110463197
