storage,inertia,freq
0.0,0.0,0.218736812888473
0.0,0.25,0.181119340501297
0.0,0.5,0.166269402290226
0.0,0.75,0.164417203669487
0.0,1.0,0.163214138580521
0.0125,0.0,0.191128334759064
0.0125,0.25,0.158862543770375
0.0125,0.5,0.154550722451937
0.0125,0.75,0.153453276995343
0.0125,1.0,0.153054548295131
0.025,0.0,0.16284293755848
0.025,0.25,0.15350908799202
0.025,0.5,0.153322945192457
0.025,0.75,0.152628644916838
0.025,1.0,0.152656519286182
0.0375,0.0,0.153328601857154
0.0375,0.25,0.15350908799202
0.0375,0.5,0.153322945192457
0.0375,0.75,0.152628644916838
0.0375,1.0,0.152199507027412
0.05,0.0,0.153328601857154
0.05,0.25,0.15350908799202
0.05,0.5,0.152815727801055
0.05,0.75,0.152146175998311
0.05,1.0,0.152199507027412
