storage,solar,freq
0,0.0,0.218736812888473
0,0.012499999999999956,0.196225900677852
0,0.02499999999999991,0.17576442990989
0,0.03750000000000009,0.152134832123487
0,0.050000000000000044,0.152120540700849
500,0.0,0.216332842308397
500,0.012499999999999956,0.194076230225349
500,0.02499999999999991,0.173770221453275
500,0.03750000000000009,0.152111398934203
500,0.050000000000000044,0.152097759285986
1000,0.0,0.213981167097067
1000,0.012499999999999956,0.19197026722793
1000,0.02499999999999991,0.171812573038181
1000,0.03750000000000009,0.152095271829758
1000,0.050000000000000044,0.15208225661528
1500,0.0,0.211679093662219
1500,0.012499999999999956,0.189906964125278
1500,0.02499999999999991,0.169889527820494
1500,0.03750000000000009,0.15207989741733
1500,0.050000000000000044,0.152067480199655
2000,0.0,0.209425028650692
2000,0.012499999999999956,0.18788486255545
2000,0.02499999999999991,0.167999212569043
2000,0.03750000000000009,0.152065243315349
2000,0.050000000000000044,0.152053398527443
