demand,inertia,freq
0.020000000000000018,0.0,0.175200079277062
0.020000000000000018,0.25,0.153509087993328
0.020000000000000018,0.5,0.153322945190638
0.020000000000000018,0.75,0.152628644918934
0.020000000000000018,1.0,0.152656519291554
0.015000000000000013,0.0,0.186341177766181
0.015000000000000013,0.25,0.155365828125426
0.015000000000000013,0.5,0.154526362627372
0.015000000000000013,0.75,0.153421141749007
0.015000000000000013,1.0,0.153017418848648
0.010000000000000009,0.0,0.197309028442369
0.010000000000000009,0.25,0.16383030888769
0.010000000000000009,0.5,0.157418131081734
0.010000000000000009,0.75,0.156039903459252
0.010000000000000009,1.0,0.155340165701595
0.0050000000000000044,0.0,0.20810852119002
0.0050000000000000044,0.25,0.172551730042613
0.0050000000000000044,0.5,0.161370078447113
0.0050000000000000044,0.75,0.159727205743849
0.0050000000000000044,1.0,0.158759934247641
0.0,0.0,0.218736812888473
0.0,0.25,0.181119340501297
0.0,0.5,0.166269402290226
0.0,0.75,0.164417203669487
0.0,1.0,0.163214138580521
