demand,solar,freq
0.020000000000000018,0.0,0.175200079277062
0.020000000000000018,0.009999999999999966,0.152165109385493
0.020000000000000018,0.01999999999999993,0.152149682014688
0.020000000000000018,0.030000000000000072,0.152134832126258
0.020000000000000018,0.040000000000000036,0.152120540701027
0.015000000000000013,0.0,0.186341177766181
0.015000000000000013,0.009999999999999966,0.163396437030912
0.015000000000000013,0.01999999999999993,0.152149682014688
0.015000000000000013,0.030000000000000072,0.152134832126258
0.015000000000000013,0.040000000000000036,0.152120540701027
0.010000000000000009,0.0,0.197309028442369
0.010000000000000009,0.009999999999999966,0.174494032563601
0.010000000000000009,0.01999999999999993,0.153081778116928
0.010000000000000009,0.030000000000000072,0.152134832126258
0.010000000000000009,0.040000000000000036,0.152120540701027
0.0050000000000000044,0.0,0.20810852119002
0.0050000000000000044,0.009999999999999966,0.185415859373634
0.0050000000000000044,0.01999999999999993,0.164702143384311
0.0050000000000000044,0.030000000000000072,0.152134832126258
0.0050000000000000044,0.040000000000000036,0.152120540701027
0.0,0.0,0.218736812888473
0.0,0.009999999999999966,0.196225900677852
0.0,0.01999999999999993,0.17576442990989
0.0,0.030000000000000072,0.152134832123487
0.0,0.040000000000000036,0.152120540700849
