1e-09,1000,59.69539075422
1e-09,2000,59.695839491369
1e-09,3000,59.6957838410128
1e-09,4000,59.6957142103146
1e-09,5000,59.6956452893577
500,1000,59.6964059854619
500,2000,59.6965525359058
500,3000,59.6964890223195
500,4000,59.6964097322414
500,5000,59.6963309658691
1000,1000,59.6973150928164
1000,2000,59.6974176890893
1000,3000,59.6973561607704
1000,4000,59.697279524987
1000,5000,59.6972034861468
1500,1000,59.698228084101
1500,2000,59.6982888073639
1500,3000,59.6982267138306
1500,4000,59.6981534457907
1500,5000,59.6980818497988
2000,1000,59.6990783031646
2000,2000,59.6991042477543
2000,3000,59.6990460387991
2000,4000,59.6989796666119
2000,5000,59.6989155957689
