x,bx,a,R^2
demand,-2.1768162129332183,0.2189072860421532,0.9999140502816579
trans,0.7445510880462098,0.209213339251562,0.9302098300293118
storage,-2.2357550131997193,0.21884963273366884,0.9999511119664374
inertia,-0.0510989941790856,0.20430087667554359,0.739400085901515
solar,-2.202674130629196,0.2187556058593634,0.9993104125463592
