x,y,bx,by,bxy,a,R^2
demand,trans,-1.9572808900484004,0.679595342606131,-9.34090120801359,0.21096802208517593,0.9464221947100355
demand,storage,-2.166828145753433,-1.3415902550383763,50.52153405455577,0.2084340980562151,0.7994042123973287
demand,inertia,-1.9088564873928888,-0.052163713645980936,1.651914710213155,0.20387889258433484,0.7382875131596935
demand,solar,-2.426345595820981,-1.7780632734965565,65.56452524540309,0.21377251790584345,0.8806680880406015
trans,storage,0.7759689727686813,-1.3269589887294693,-14.561935100837156,0.2024059904046476,0.9722010032068956
trans,inertia,0.828415219963957,-0.04913097143317546,-0.7477125508433301,0.19345105817194475,0.9309924139487027
trans,solar,0.6794187923348716,-1.7973451564106826,-5.842315834918122,0.20839954458100834,0.9616669992599611
storage,inertia,-1.0115955333621542,-0.04511906509724173,1.0453471185832768,0.19513275577277028,0.704626154281542
storage,solar,-1.222305409108475,-1.4770909172635172,35.15986197677545,0.2026809621637924,0.8055260035200382
inertia,solar,-0.04889358110497203,-1.3541715078559113,1.398021520225853,0.19874568759525063,0.7449122855051833
