x,bx,a,R^2
demand,-2.1768162129332183,0.2189072860421532,0.9999140502816579
trans,0.7445510880462098,0.209213339251562,0.9302098300293118
storage,-1.348929239716384,0.20959628877697462,0.873116282593909
inertia,-0.0510989941790856,0.20430087667554359,0.739400085901515
solar,-1.7732361292961263,0.21446122584603272,0.9441244877214406
