Inertia & Solar,inertia,solar,freq,Demand & Trans,demand,trans,freq,Demand & Storage,demand,storage,freq,Demand & Inertia,demand,inertia,freq,Demand & Solar,demand,solar,freq,Trans & Storage,trans,storage,freq,Trans & Inertia,trans,inertia,freq,Trans & Solar,trans,solar,freq,Storage & Inertia,storage,inertia,freq,Storage & Solar,storage,solar,freq
,0.0,1.0,0.218736812888473,,0.98,1000,0.175200079277062,,0.98,0.0,0.175200079277062,,0.98,0.0,0.175200079277062,,0.98,1.0,0.175200079277062,,1000,0.0,0.218736812888473,,1000,0.0,0.218736812888473,,1000,1.0,0.218736812888473,,0.0,0.0,0.218736812888473,,0.0,1.0,0.218736812888473
,0.0,1.0125,0.196225900677852,,0.98,2000,0.194022955496251,,0.98,0.0125,0.153328601857119,,0.98,0.25,0.153509087993328,,0.98,1.0125,0.152165109385493,,1000,0.0125,0.191128334759064,,1000,0.25,0.181119340501297,,1000,1.0125,0.196225900677852,,0.0,0.25,0.181119340501297,,0.0,1.0125,0.196225900677852
,0.0,1.025,0.17576442990989,,0.98,3000,0.210034341226311,,0.98,0.025,0.153328601857119,,0.98,0.5,0.153322945190638,,0.98,1.025,0.152149682014688,,1000,0.025,0.16284293755848,,1000,0.5,0.166269402290226,,1000,1.025,0.17576442990989,,0.0,0.5,0.166269402290226,,0.0,1.025,0.17576442990989
,0.0,1.0375,0.152134832123487,,0.98,4000,0.216178341935446,,0.98,0.0375,0.153328601857119,,0.98,0.75,0.152628644918934,,0.98,1.0375,0.152134832126258,,1000,0.0375,0.153328601857154,,1000,0.75,0.164417203669487,,1000,1.0375,0.152134832123487,,0.0,0.75,0.164417203669487,,0.0,1.0375,0.152134832123487
,0.0,1.05,0.152120540700849,,0.98,5000,0.217891543257458,,0.98,0.05,0.153328601857119,,0.98,1.0,0.152656519291554,,0.98,1.05,0.152120540701027,,1000,0.05,0.153328601857154,,1000,1.0,0.163214138580521,,1000,1.05,0.152120540700849,,0.0,1.0,0.163214138580521,,0.0,1.05,0.152120540700849
,0.25,1.0,0.181119340501297,,0.985,1000,0.186341177766181,,0.985,0.0,0.186341177766181,,0.985,0.0,0.186341177766181,,0.985,1.0,0.186341177766181,,2000,0.0,0.239369440163713,,2000,0.0,0.239369440163713,,2000,1.0,0.239369440163713,,0.0125,0.0,0.191128334759064,,0.0125,1.0,0.191128334759064
,0.25,1.0125,0.163122152680813,,0.985,2000,0.205659044868959,,0.985,0.0125,0.157669767215545,,0.985,0.25,0.155365828125426,,0.985,1.0125,0.163396437030912,,2000,0.0125,0.210670992103658,,2000,0.25,0.197390847143176,,2000,1.0125,0.216143474121694,,0.0125,0.25,0.158862543770375,,0.0125,1.0125,0.168419793776486
,0.25,1.025,0.152364231280963,,0.985,3000,0.221461663275981,,0.985,0.025,0.153328601857119,,0.985,0.5,0.154526362627372,,0.985,1.025,0.152149682014688,,2000,0.025,0.181220627651541,,2000,0.5,0.17031612780081,,2000,1.025,0.194219388904806,,0.0125,0.5,0.154550722451937,,0.0125,1.025,0.152149682009934
,0.25,1.0375,0.15230722395173,,0.985,4000,0.22732684249506,,0.985,0.0375,0.153328601857119,,0.985,0.75,0.153421141749007,,0.985,1.0375,0.152134832126258,,2000,0.0375,0.151005182317363,,2000,0.75,0.153642745990368,,2000,1.0375,0.176750683509226,,0.0125,0.75,0.153453276995343,,0.0125,1.0375,0.152134832123487
,0.25,1.05,0.152289049463519,,0.985,5000,0.228862013197165,,0.985,0.05,0.153328601857119,,0.985,1.0,0.153017418848648,,0.985,1.05,0.152120540701027,,2000,0.05,0.139751364203924,,2000,1.0,0.152418045105044,,2000,1.05,0.150687127506259,,0.0125,1.0,0.153054548295131,,0.0125,1.05,0.152120540700849
